Date,AV,C,TV
2016-01-12,14622.260013580322,154.54965400695437,14776.809667587277
2016-01-13,14478.369884490967,94.8096542358362,14573.179538726803
2016-01-14,9404.799924850464,5359.259632110592,14764.059556961056
2016-01-15,12355.260162353516,2208.7696037292444,14564.02976608276
2016-01-19,12551.299760818481,2005.6896038055384,14556.98936462402
2016-01-20,13556.669826507568,834.6396083831751,14391.309434890743
2016-01-21,14155.160404205322,314.1695995330774,14469.3300037384
2016-01-22,2735.619972229004,11950.49931144714,14686.119283676144
2016-01-25,9441.180084228516,5202.799253463742,14643.979337692257
2016-01-26,5423.499950408936,9369.949220657347,14793.449171066282
2016-01-27,10046.469926834106,4697.849288940428,14744.319215774534
2016-01-28,7658.600074768066,7143.1293411254865,14801.729415893553
2016-01-29,6075.800018310547,8949.449367523192,15025.249385833738
2016-02-01,6739.099937438965,8275.069366455076,15014.169303894041
2016-02-02,9144.149766921997,5771.099462509153,14915.24922943115
2016-02-03,7575.349893569946,7466.789493560789,15042.139387130735
2016-02-04,9465.590208053589,5599.649452209471,15065.23966026306
2016-02-05,9950.390434265139,5051.509405136107,15001.899839401245
2016-02-08,12788.580249786377,2059.709360122679,14848.289609909056
2016-02-09,13949.490238189699,835.859365463255,14785.349603652954
2016-02-10,14488.289817810059,326.58936691284,14814.879184722899
2016-02-11,14592.5397605896,123.18936920165834,14715.729129791258
2016-02-12,5578.6999168396,9440.209453582762,15018.909370422361
2016-02-16,8041.839916229248,7122.359443664549,15164.199359893797
2016-02-17,10664.220127105713,4568.249389648436,15232.469516754149
2016-02-18,8001.4000244140625,7251.359180450438,15252.7592048645
2016-02-19,8044.619928359985,7178.109142303465,15222.72907066345
2016-02-22,6296.069858551025,9086.739093780516,15382.808952331541
2016-02-23,8941.599830627441,6343.689159393309,15285.28899002075
2016-02-24,10638.509922027588,4663.889204025267,15302.399126052855
2016-02-25,6465.1199588775635,8974.029035568234,15439.148994445797
2016-02-26,6927.510154724121,8548.29906082153,15475.80921554565
2016-02-29,6914.669967651367,8545.099067687985,15459.769035339352
2016-03-01,6901.010000228881,8720.579067230221,15621.589067459103
2016-03-02,8686.780012130737,6963.1791000366175,15649.959112167355
2016-03-03,9426.530094146729,6252.629117965695,15679.159212112423
2016-03-04,10277.929971694946,5462.829151153561,15740.759122848507
2016-03-07,11328.309829711914,4410.739166259762,15739.048995971676
2016-03-08,10529.500074386597,5186.029314041134,15715.52938842773
2016-03-09,12143.370094299316,3617.5492572784387,15760.919351577755
2016-03-10,13744.76005744934,2031.599231719967,15776.359289169308
2016-03-11,5648.990119934082,10374.33921051025,16023.329330444332
2016-03-14,9270.439940452576,6738.279168128964,16008.71910858154
2016-03-15,11321.24006652832,4667.279179573055,15988.519246101376
2016-03-16,6657.089937210083,9552.759016990658,16209.848954200741
2016-03-17,5206.199993133545,11112.4889383316,16318.688931465145
2016-03-18,6467.5798988342285,9872.348958015438,16339.928856849667
2016-03-21,9005.690021514893,7346.458956718441,16352.148978233334
2016-03-22,14401.719813346863,1930.159018516537,16331.8788318634
2016-03-23,15855.570163726807,277.9890108108484,16133.559174537655
2016-03-24,16055.589891433716,63.26900959014529,16118.858901023861
2016-03-28,16050.840182304382,83.90900993346804,16134.74919223785
2016-03-29,3317.7199630737305,12995.359226226801,16313.079189300532
2016-03-30,6703.530069351196,9566.49912643432,16270.029195785517
2016-03-31,5984.690053939819,10290.639141082758,16275.329195022578
2016-04-01,11054.41005897522,5184.059101104731,16238.46916007995
2016-04-04,14830.85998916626,1321.0391407012885,16151.899129867548
2016-04-05,11669.160187721252,4479.379263877863,16148.539451599116
2016-04-06,15526.660110473633,644.1892452239936,16170.849355697626
2016-04-07,14551.77004623413,1427.8392009735053,15979.609247207636
2016-04-08,6542.679899215699,9838.448930740351,16381.128829956051
2016-04-11,4909.919900894165,11549.828861236567,16459.74876213073
2016-04-12,11634.230125427246,4837.008792877192,16471.238918304436
2016-04-13,11982.850009918213,4540.368797302241,16523.21880722045
2016-04-14,13133.769897460938,3375.178848266596,16508.94874572753
2016-04-15,6594.669902801514,9953.33868026733,16548.008583068844
2016-04-18,8094.579827308655,8477.568710327145,16572.1485376358
2016-04-19,3458.7999114990234,13229.468728065487,16688.26863956451
2016-04-20,6838.230010986328,9819.838707923886,16658.068718910214
2016-04-21,12587.590085983276,4022.3186674118006,16609.908753395077
2016-04-22,16119.610084533691,486.76864147185915,16606.37872600555
2016-04-25,16314.169776916504,281.0586881637537,16595.228465080258
2016-04-26,10208.599964141846,6509.948887825009,16718.548851966854
2016-04-27,14098.799829483032,2613.9790563583338,16712.778885841366
2016-04-28,15765.560348510742,653.0389986038172,16418.59934711456
2016-04-29,16154.611911773682,85.69734287261599,16240.309254646298
2016-05-02,16328.772930145264,59.437342643734155,16388.210272788998
2016-05-03,16169.725788116455,40.01734256744021,16209.743130683895
